0.096321 -1.067707 
0.096615 -1.067627 
0.096908 -1.067546 
0.097201 -1.067466 
0.097494 -1.067385 
0.097787 -1.067305 
0.098081 -1.067224 
0.098374 -1.067144 
0.098667 -1.067063 
0.098960 -1.066982 
0.099253 -1.066901 
0.099546 -1.066820 
0.099840 -1.066739 
0.100133 -1.066658 
0.100426 -1.066577 
0.100719 -1.066496 
0.101012 -1.066415 
0.101305 -1.066333 
0.101598 -1.066252 
0.101891 -1.066171 
0.102184 -1.066089 
0.102477 -1.066007 
0.102770 -1.065926 
0.103063 -1.065844 
0.103356 -1.065762 
0.103649 -1.065680 
0.103942 -1.065598 
0.104235 -1.065516 
0.104528 -1.065434 
0.104821 -1.065352 
0.105114 -1.065270 
0.105407 -1.065188 
0.105700 -1.065105 
0.105993 -1.065023 
0.106286 -1.064940 
0.106579 -1.064858 
0.106872 -1.064775 
0.107165 -1.064692 
0.107458 -1.064610 
0.107750 -1.064527 
0.108043 -1.064444 
0.108336 -1.064361 
0.108629 -1.064278 
0.108922 -1.064195 
0.109215 -1.064112 
0.109507 -1.064028 
0.109800 -1.063945 
0.110093 -1.063862 
0.110386 -1.063778 
0.110679 -1.063695 
0.110971 -1.063611 
0.111264 -1.063527 
0.111557 -1.063444 
0.111849 -1.063360 
0.112142 -1.063276 
0.112435 -1.063192 
0.112728 -1.063108 
0.113020 -1.063024 
0.113313 -1.062940 
0.113606 -1.062855 
0.113898 -1.062771 
0.114191 -1.062687 
0.114483 -1.062602 
0.114776 -1.062518 
0.115069 -1.062433 
0.115361 -1.062349 
0.115654 -1.062264 
0.115946 -1.062179 
0.116239 -1.062094 
0.116532 -1.062010 
0.116824 -1.061925 
0.117117 -1.061840 
0.117409 -1.061754 
0.117702 -1.061669 
0.117994 -1.061584 
0.118287 -1.061499 
0.118579 -1.061413 
0.118872 -1.061328 
0.119164 -1.061242 
0.119456 -1.061157 
0.119749 -1.061071 
0.120041 -1.060985 
0.120334 -1.060900 
0.120626 -1.060814 
0.120918 -1.060728 
0.121211 -1.060642 
0.121503 -1.060556 
0.121796 -1.060470 
0.122088 -1.060383 
0.122380 -1.060297 
0.122673 -1.060211 
0.122965 -1.060124 
0.123257 -1.060038 
0.123549 -1.059951 
0.123842 -1.059865 
0.124134 -1.059778 
0.124426 -1.059691 
0.124718 -1.059604 
0.125011 -1.059518 
0.125303 -1.059431 
0.125595 -1.059344 
0.125887 -1.059256 
0.126179 -1.059169 
0.126472 -1.059082 
0.126764 -1.058995 
0.127056 -1.058907 
0.127348 -1.058820 
0.127640 -1.058732 
0.127932 -1.058645 
0.128224 -1.058557 
0.128516 -1.058469 
0.128809 -1.058382 
0.129101 -1.058294 
0.129393 -1.058206 
0.129685 -1.058118 
0.129977 -1.058030 
0.130269 -1.057942 
0.130561 -1.057854 
0.130853 -1.057765 
0.131145 -1.057677 
0.131437 -1.057589 
0.131729 -1.057500 
0.132021 -1.057412 
0.132313 -1.057323 
0.132604 -1.057234 
0.132896 -1.057146 
0.133188 -1.057057 
0.133480 -1.056968 
0.133772 -1.056879 
0.134064 -1.056790 
0.134356 -1.056701 
0.134648 -1.056612 
0.134939 -1.056522 
0.135231 -1.056433 
0.135523 -1.056344 
0.135815 -1.056254 
0.136107 -1.056165 
0.136398 -1.056075 
0.136690 -1.055986 
0.136982 -1.055896 
0.137273 -1.055806 
0.137565 -1.055716 
0.137857 -1.055627 
0.138149 -1.055537 
0.138440 -1.055447 
0.138732 -1.055356 
0.139024 -1.055266 
0.139315 -1.055176 
0.139607 -1.055086 
0.139898 -1.054995 
0.140190 -1.054905 
0.140482 -1.054814 
0.140773 -1.054724 
0.141065 -1.054633 
0.141356 -1.054542 
0.141648 -1.054452 
0.141939 -1.054361 
0.142231 -1.054270 
0.142522 -1.054179 
0.142814 -1.054088 
0.143105 -1.053997 
0.143397 -1.053905 
0.143688 -1.053814 
0.143980 -1.053723 
0.144271 -1.053631 
0.144562 -1.053540 
0.144854 -1.053448 
0.145145 -1.053357 
0.145436 -1.053265 
0.145728 -1.053173 
0.146019 -1.053082 
0.146310 -1.052990 
0.146602 -1.052898 
0.146893 -1.052806 
0.147184 -1.052714 
0.147476 -1.052621 
0.147767 -1.052529 
0.148058 -1.052437 
0.148349 -1.052345 
0.148641 -1.052252 
0.148932 -1.052160 
0.149223 -1.052067 
0.149514 -1.051974 
0.149805 -1.051882 
0.150096 -1.051789 
0.150388 -1.051696 
0.150679 -1.051603 
0.150970 -1.051510 
0.151261 -1.051417 
0.151552 -1.051324 
0.151843 -1.051231 
0.152134 -1.051138 
0.152425 -1.051044 
0.152716 -1.050951 
0.153007 -1.050857 
0.153298 -1.050764 
0.153589 -1.050670 
0.153880 -1.050577 
0.154171 -1.050483 
0.154462 -1.050389 
0.154753 -1.050295 
0.155044 -1.050201 
0.155335 -1.050107 
0.155626 -1.050013 
0.155916 -1.049919 
0.156207 -1.049825 
0.156498 -1.049731 
0.156789 -1.049636 
0.157080 -1.049542 
0.157371 -1.049448 
0.157661 -1.049353 
0.157952 -1.049258 
0.158243 -1.049164 
0.158534 -1.049069 
0.158824 -1.048974 
0.159115 -1.048879 
0.159406 -1.048784 
0.159697 -1.048689 
0.159987 -1.048594 
0.160278 -1.048499 
0.160568 -1.048404 
0.160859 -1.048309 
0.161150 -1.048213 
0.161440 -1.048118 
0.161731 -1.048022 
0.162021 -1.047927 
0.162312 -1.047831 
0.162603 -1.047735 
0.162893 -1.047640 
0.163184 -1.047544 
0.163474 -1.047448 
0.163765 -1.047352 
0.164055 -1.047256 
